authority,mint,lon,lat,issues
augustus,lugdunum,4.819444,45.759722,111
augustus,pergamum,27.183333,39.116667,40
augustus,treveri,6.641389,49.756667,1
augustus,caesaraugusta,-0.876,41.657,54
augustus,nemausus,4.360278,43.834875,8
augustus,ephesus,27.340833,37.939722,11
augustus,emerita,-6.34567,38.916159,15
augustus,samos,26.943056,37.689444,1
augustus,antiocheia_pisidia,31.189704,38.304239,3
augustus,colonia_patricia,-4.779171,37.884683,131
augustus,rome,12.5,41.9,195
augustus,cyrene,21.85727,32.823041,5
tiberius,caesareia_cappadocia,35.483333,38.733333,5
tiberius,commagene,36.74,37.25,2
tiberius,rome,12.5,41.9,51
tiberius,lugdunum,4.819444,45.759722,32
gaius,caesareia_cappadocia,35.483333,38.733333,5
gaius,rome,12.5,41.9,46
gaius,lugdunum,4.819444,45.759722,12
claudius,lugdunum,4.819444,45.759722,1
claudius,pergamum,27.183333,39.116667,2
claudius,caesareia_cappadocia,35.483333,38.733333,5
claudius,ephesus,27.340833,37.939722,3
claudius,rome,12.5,41.9,115
nero,caesareia_cappadocia,35.483333,38.733333,16
nero,rome,12.5,41.9,370
nero,lugdunum,4.819444,45.759722,236
clodius_macer,carthage,10.312944,36.847009,42
galba,tarraco,1.249594,41.115697,84
galba,rome,12.5,41.9,374
galba,lugdunum,4.819444,45.759722,21
otho,rome,12.5,41.9,24
vitellius,rome,12.5,41.9,112
vitellius,lugdunum,4.819444,45.759722,19
vespasian,lugdunum,4.819444,45.759722,191
vespasian,alexandreia_egypt,29.909773,31.201435,8
vespasian,ephesus,27.340833,37.939722,81
vespasian,antiocheia_pisidia,31.189704,38.304239,25
vespasian,tarraco,1.249594,41.115697,44
vespasian,rome,12.5,41.9,1109
titus,rome,12.5,41.9,525
domitian,rome,12.5,41.9,824
nerva,asia_minor,29.53125,38.9594088,27
nerva,rome,12.5,41.9,150
trajan,asia_minor,29.53125,38.9594088,10
trajan,rome,12.5,41.9,932
anonymous,rome,12.5,41.9,38
hadrian,ephesus,27.340833,37.939722,68
hadrian,pincum,21.510941,44.760588,1
hadrian,rome,12.5,41.9,2334
antoninus_pius,rome,12.5,41.9,2381
marcus_aurelius,caesareia_cappadocia,35.483333,38.733333,4
marcus_aurelius,rome,12.5,41.9,1814
commodus,rome,12.5,41.9,945
pertinax,rome,12.5,41.9,71
pescennius_niger,antiocheia_syria,36.15,36.2,196
didius_julianus,rome,12.5,41.9,52
clodius_albinus,rome,12.5,41.9,86
clodius_albinus,lugdunum,4.819444,45.759722,68
septimius_severus,emisa,36.724237,34.751899,168
septimius_severus,alexandreia_egypt,29.909773,31.201435,29
septimius_severus,laodiceia_ad_mare,35.783333,35.516667,218
septimius_severus,rome,12.5,41.9,1706
geta,laodiceia_ad_mare,35.783333,35.516667,1
geta,rome,12.5,41.9,38
caracalla,rome,12.5,41.9,529
diadumenian,rome,12.5,41.9,37
macrinus,rome,12.5,41.9,281
elagabalus,antiocheia_syria,36.15,36.2,61
elagabalus,rome,12.5,41.9,487
severus_alexander,antiocheia_syria,36.15,36.2,56
severus_alexander,rome,12.5,41.9,871
maximinus_thrax,rome,12.5,41.9,159
gordian_i,rome,12.5,41.9,16
pupienus,rome,12.5,41.9,31
balbinus,rome,12.5,41.9,31
gordian_ii,rome,12.5,41.9,10
philip_the_arab,antiocheia_syria,36.15,36.2,81
philip_the_arab,rome,12.5,41.9,467
pacatianus,viminacium,21.166605,44.716471,12
gordian_iii,antiocheia_syria,36.15,36.2,127
gordian_iii,rome,12.5,41.9,425
trajan_decius,antiocheia_syria,36.15,36.2,135
trajan_decius,rome,12.5,41.9,326
trajan_decius,mediolanum,9.18806,45.463746,70
hostilian,rome,12.5,41.9,6
trebonianus_gallus,antiocheia_syria,36.15,36.2,162
trebonianus_gallus,rome,12.5,41.9,134
trebonianus_gallus,mediolanum,9.18806,45.463746,10
volusian,antiocheia_syria,36.15,36.2,116
volusian,rome,12.5,41.9,131
volusian,mediolanum,9.18806,45.463746,9
uranius_antoninus,emisa,36.724237,34.751899,19
aemilian,rome,12.5,41.9,59
valerian,lugdunum,4.819444,45.759722,171
valerian,antiocheia_syria,36.15,36.2,57
valerian,viminacium,21.166605,44.716471,40
valerian,mediolanum,9.18806,45.463746,350
valerian,rome,12.5,41.9,854
quietus,antiocheia_syria,36.15,36.2,13
macrianus_minor,antiocheia_syria,36.15,36.2,13
