mint,lon,lat,issues
ravenna_com,12.196604,44.415718,8
ravenna,12.196604,44.415718,184
lugdunum,4.819444,45.759722,2862
carthage,10.312944,36.847009,155
pergamum,27.183333,39.116667,42
carnuntum,16.866667,48.116667,11
caesareia_cappadocia,35.483333,38.733333,35
barcino,2.169911,41.387911,4
ticinum,9.156562,45.185899,946
tripolis_phoenicia,35.8387756,34.4290008,24
treveri,6.641389,49.756667,2647
arelate,4.630799,43.677616,1070
siscia,16.371388,45.483168,2449
antiocheia_syria,36.15,36.2,2387
colonia_claudia_ara_agrippinensium,6.966667,50.95,144
sirmium,19.610106,44.966447,248
commagene,36.74,37.25,2
caesaraugusta,-0.876,41.657,54
heraclea_thracica,27.95528,40.97003,564
alexandreia_egypt,29.909773,31.201435,591
camulodunum,0.901298,51.889852,360
asia_minor,29.53125,38.9594088,37
nemausus,4.360278,43.834875,8
narbo,3.0042,43.1836,2
rotomagus,1.097921,49.441459,82
ephesus,27.340833,37.939722,163
emerita,-6.34567,38.916159,15
aquileia,13.364601,45.768259,1040
viminacium,21.166605,44.716471,52
londinium,-0.088949,51.513335,889
mogontiacum,8.271111,50.0,10
cyzicus,27.892255,40.381323,944
serdica,23.333333,42.7,218
mediolanum,9.18806,45.463746,1418
thessalonica,22.95,40.633333,1052
pincum,21.510941,44.760588,1
samos,26.943056,37.689444,1
ambianum,2.293832,49.892624,50
ostia,12.287656,41.754855,109
nicomedia,29.916667,40.766667,797
constantinople,28.976018,41.01224,1350
antiocheia_pisidia,31.189704,38.304239,32
colonia_patricia,-4.779171,37.884683,131
tarraco,1.249594,41.115697,128
emisa,36.724237,34.751899,187
laodiceia_ad_mare,35.783333,35.516667,219
arelate_com,4.62861,43.67694,8
rome,12.5,41.9,24296
cyrene,21.85727,32.823041,5
