mint,lon,lat
aachen,6.083333,50.783333
abacaenum,15.102253,38.0505243
abbaetae-mysi,28.75,39.25
abdera_hispania,-3.016667,36.733333
abdera_thrace,24.983333,40.95
abila,35.869214,32.683121
abonuteichos,33.762407,41.976878
abra,-3.959262,37.765419
abydus,26.406964,40.196017
acalissus,30.232071,36.538904
acanthus,23.880112,40.39975
acarnania,21.3167,38.666667
acci,-3.134636,37.300309
accilaeum,30.63,38.445
ace_ptolemais,35.077005,32.921776
acerrae,14.371233,40.946092
achaeum,26.164143,39.813107
achilleion,26.188666,39.989747
achulla,11.03359,35.129754
acinippo,-5.240746,36.832412
acmoneia,29.775001,38.658746
acrae,14.904327,37.061205
acraephia,23.218075,38.448701
acrasus,27.67,39.1
acre,35.07647,32.92814
adada,30.9951,37.5916
adana,35.338677,36.986559
aden,45.03667,12.77944
adharbayjan_umayyad,47.5,40.5
adraa,36.116233,32.625139
adramyteum,27.016667,39.583333
adranum,14.835642,37.662847
aegae_achaea,22.314637,38.154879
aegae_aeolis,27.174421,38.820323
aegae_macedonia,22.313611,40.481111
aegeae_cilicia,35.7886505,36.7695548
aegeira,22.377574,38.131035
aegiale,25.998408,36.90637
aegialus,33.002438,41.891894
aegina,23.433333,37.75
aegina_aegina,23.433333,37.75
aegium,22.081952,38.252707
aegospotami,26.599366,40.331504
aegosthena,23.229288,38.151662
aelia_capitolina,35.234156,31.776679
aenai,24.928581,35.058417
aeneia,22.879124,40.439481
aenianes,22.25209,38.871397
aenus,26.08478228345581,40.725137629304825
aerae,26.701321,38.203961
aesernia,14.230823,41.594348
aetna,14.9,37.566667
aetolian_league,21.677046,38.541455
aezanis,29.617577,39.197142
agathopolis,27.939514,42.0994
aghranatah,-3.60667,37.18817
agra,78.01667,27.18333
agrigentum,13.583333,37.316667
agrippia-caesarea_phanagoria,36.825,45.189
agyrium,14.522598,37.657497
ahmadabad,72.58726,23.02579
ahwaz,48.6842,31.31901
ai_khanoum,69.411854,37.163626
aipora,-6.354245,36.779174
al-andalus,-4.77275,37.89155
al-andalus_malaga,-4.39717,36.75854
al-bab,38.07167,45.50667
al-basrah,47.81507,30.50316
al-fustat,31.24967,30.06263
al-haruniyah,48.3943,34.9975
al-iraq_baghdad,44.40088,33.34058
al-iskandariyah,29.95527,31.21564
al-kufa,44.44017,32.05114
al-maghrib_abbasid,31.24967,30.06263
al-mahdiyah,11.06222,35.50472
al-mansuriyah,10.09633,35.6781
al-mariyah,-2.45974,36.83814
al-mawsil,43.11889,36.335
al-mu'izziyah_al-qahirah,31.24967,30.06263
al-mubarakah,66.8972,36.75635
al-muhammadiyah,51.27743,35.37448
al-mukalla,49.133333,14.533333
al-qahirah,31.24967,30.06263
al-qahirah_al-mahrusah,31.24967,30.06263
al-qayrawan,10.09633,35.6781
al-quds,35.21633,31.76904
al-rafiqah,39.00788,35.95283
al-ramlah,34.86563,31.92923
al-shash,69.21627,41.26465
al-sus,48.2436,32.1942
al-taymarah,51.67462,32.65246
al-urdunn,35.94503,31.95522
al-yamamah,47.32775,24.18211
alabanda,27.958833,37.597785
alaesa,14.262968,37.99808
alaun,-1.116667,41.766667
alba_fucens,13.411669,42.079742
alea,22.450785,37.794666
alexandreia_ad_issum,36.180508,36.57934
